,Accuracy,Image,Set,Experiment
336,0.9698996655518395,11283,val,3
337,0.8062015503875969,11310,val,3
338,0.8561643835616438,11321,val,3
339,0.9922779922779923,11329,val,3
340,1.0,11331,val,3
341,1.0,11341,val,3
342,0.9797297297297297,11353,val,3
343,0.8267716535433071,11356,val,3
344,0.8987854251012146,11367,val,3
345,0.8,11369,val,3
346,0.96415770609319,11370,val,3
347,0.9826388888888888,11375,val,3
348,0.9769230769230769,11383,val,3
349,0.9594594594594594,11401,val,3
350,0.7733333333333333,11414,val,3
351,0.7659574468085106,11437,val,3
352,0.9884169884169884,11453,val,3
353,0.9898305084745763,11461,val,3
354,0.5547169811320755,11462,val,3
355,0.9407114624505929,11463,val,3
356,1.0,11469,val,3
357,0.9812734082397003,11470,val,3
358,1.0,11474,val,3
359,0.8512110726643599,11480,val,3
360,1.0,11485,val,3
361,0.8037383177570093,11492,val,3
362,0.8766233766233766,11494,val,3
363,0.9938271604938271,11503,val,3
364,0.6470588235294118,11516,val,3
365,0.8473282442748091,11570,val,3
366,0.9783950617283951,11583,val,3
367,1.0,11592,val,3
368,0.9078947368421053,11604,val,3
369,0.7345679012345679,11608,val,3
370,1.0,11613,val,3
371,1.0,11615,val,3
