,Accuracy,Image,Set,Experiment
581,1.0,3826,val,4
582,1.0,3830,val,4
583,1.0,3834,val,4
584,1.0,3837,val,4
585,1.0,3844,val,4
586,1.0,3847,val,4
587,1.0,3848,val,4
588,1.0,3849,val,4
589,1.0,3861,val,4
590,1.0,3863,val,4
591,1.0,3865,val,4
592,1.0,3885,val,4
593,1.0,3890,val,4
594,0.84,3891,val,4
595,1.0,3900,val,4
596,1.0,3901,val,4
597,1.0,3912,val,4
598,1.0,3918,val,4
599,1.0,3923,val,4
600,1.0,3929,val,4
601,1.0,3949,val,4
602,1.0,3953,val,4
603,1.0,3960,val,4
604,1.0,3968,val,4
605,1.0,3971,val,4
606,1.0,3972,val,4
607,1.0,3977,val,4
608,1.0,3981,val,4
609,1.0,3984,val,4
610,1.0,3985,val,4
611,1.0,3986,val,4
612,0.84,3993,val,4
613,1.0,3997,val,4
614,1.0,3999,val,4
615,1.0,4000,val,4
616,1.0,4003,val,4
617,1.0,4005,val,4
618,1.0,4007,val,4
619,1.0,4008,val,4
620,1.0,4012,val,4
621,1.0,4029,val,4
622,1.0,4033,val,4
623,1.0,4036,val,4
624,1.0,4063,val,4
625,1.0,4064,val,4
626,1.0,4074,val,4
627,1.0,4082,val,4
628,1.0,4090,val,4
629,1.0,4091,val,4
630,1.0,4100,val,4
631,1.0,4104,val,4
632,1.0,4112,val,4
633,1.0,4118,val,4
634,1.0,4121,val,4
635,1.0,4131,val,4
636,1.0,4133,val,4
637,1.0,4144,val,4
638,1.0,4149,val,4
639,1.0,4157,val,4
640,1.0,4160,val,4
641,1.0,4166,val,4
642,1.0,4169,val,4
643,1.0,4172,val,4
644,1.0,4173,val,4
645,1.0,4175,val,4
646,1.0,4182,val,4
647,1.0,4211,val,4
648,1.0,4222,val,4
649,1.0,4225,val,4
650,1.0,4227,val,4
651,1.0,4233,val,4
652,1.0,4238,val,4
653,1.0,4240,val,4
654,1.0,4247,val,4
655,1.0,4251,val,4
656,1.0,4262,val,4
657,1.0,4266,val,4
658,1.0,4268,val,4
659,1.0,4279,val,4
660,1.0,4282,val,4
661,1.0,4283,val,4
662,1.0,4285,val,4
663,1.0,4289,val,4
664,1.0,4302,val,4
665,1.0,4320,val,4
666,1.0,4327,val,4
667,1.0,4337,val,4
668,1.0,4339,val,4
669,1.0,4343,val,4
670,1.0,4345,val,4
671,1.0,4348,val,4
672,1.0,4352,val,4
673,1.0,4361,val,4
674,1.0,4386,val,4
675,1.0,4401,val,4
676,0.92,4403,val,4
677,1.0,4408,val,4
678,1.0,4433,val,4
679,0.92,4448,val,4
680,1.0,4451,val,4
681,1.0,4479,val,4
682,1.0,4497,val,4
683,1.0,4521,val,4
684,1.0,4531,val,4
685,1.0,4536,val,4
686,1.0,4538,val,4
687,0.92,4544,val,4
688,1.0,4549,val,4
689,1.0,4556,val,4
690,1.0,4560,val,4
691,1.0,4561,val,4
692,1.0,4571,val,4
693,1.0,4579,val,4
694,1.0,4593,val,4
695,1.0,4612,val,4
696,1.0,4624,val,4
697,1.0,4633,val,4
698,0.92,4639,val,4
699,1.0,4640,val,4
700,1.0,4648,val,4
701,1.0,4649,val,4
702,1.0,4652,val,4
703,1.0,4671,val,4
704,1.0,4677,val,4
705,1.0,4687,val,4
706,1.0,4688,val,4
707,1.0,4697,val,4
708,1.0,4714,val,4
709,1.0,4727,val,4
710,0.84,4744,val,4
711,1.0,4752,val,4
712,1.0,4756,val,4
713,1.0,4758,val,4
714,1.0,4759,val,4
715,1.0,4761,val,4
716,1.0,4768,val,4
717,1.0,4792,val,4
718,1.0,4795,val,4
719,1.0,4798,val,4
720,1.0,2,test,4
721,1.0,10,test,4
722,1.0,11,test,4
723,1.0,16,test,4
724,1.0,20,test,4
725,1.0,21,test,4
726,1.0,27,test,4
727,1.0,35,test,4
728,1.0,47,test,4
729,1.0,50,test,4
730,1.0,51,test,4
731,1.0,56,test,4
732,1.0,65,test,4
733,1.0,73,test,4
734,1.0,76,test,4
735,0.92,79,test,4
736,1.0,84,test,4
737,1.0,88,test,4
738,1.0,104,test,4
739,1.0,106,test,4
740,0.92,109,test,4
741,1.0,121,test,4
742,1.0,127,test,4
743,1.0,132,test,4
744,1.0,144,test,4
745,1.0,147,test,4
746,0.84,152,test,4
747,1.0,154,test,4
748,1.0,167,test,4
749,1.0,186,test,4
750,1.0,195,test,4
751,1.0,198,test,4
752,0.84,208,test,4
753,1.0,209,test,4
754,1.0,212,test,4
755,1.0,226,test,4
756,1.0,230,test,4
757,1.0,231,test,4
758,1.0,245,test,4
759,1.0,252,test,4
760,1.0,267,test,4
761,1.0,269,test,4
762,1.0,270,test,4
763,1.0,297,test,4
764,1.0,309,test,4
765,1.0,314,test,4
766,1.0,324,test,4
767,1.0,325,test,4
768,1.0,329,test,4
769,1.0,338,test,4
770,1.0,353,test,4
771,1.0,354,test,4
772,1.0,366,test,4
773,1.0,390,test,4
774,1.0,392,test,4
775,1.0,397,test,4
776,1.0,399,test,4
777,0.92,409,test,4
778,1.0,413,test,4
779,0.76,431,test,4
780,1.0,438,test,4
781,1.0,449,test,4
782,1.0,450,test,4
783,1.0,471,test,4
784,0.92,478,test,4
785,1.0,488,test,4
786,1.0,502,test,4
787,1.0,508,test,4
788,1.0,512,test,4
789,1.0,530,test,4
790,1.0,534,test,4
791,1.0,537,test,4
792,0.92,542,test,4
793,1.0,549,test,4
794,1.0,572,test,4
795,1.0,581,test,4
796,1.0,595,test,4
797,1.0,598,test,4
798,1.0,609,test,4
799,1.0,620,test,4
800,1.0,630,test,4
801,1.0,631,test,4
802,1.0,638,test,4
803,1.0,648,test,4
804,1.0,649,test,4
805,1.0,659,test,4
806,1.0,667,test,4
807,1.0,673,test,4
808,1.0,678,test,4
809,1.0,681,test,4
810,1.0,687,test,4
811,1.0,694,test,4
812,1.0,695,test,4
813,1.0,697,test,4
814,1.0,702,test,4
815,1.0,713,test,4
816,1.0,717,test,4
817,1.0,731,test,4
818,0.6,733,test,4
819,1.0,761,test,4
820,1.0,762,test,4
821,1.0,765,test,4
822,1.0,767,test,4
823,1.0,771,test,4
824,1.0,780,test,4
825,1.0,783,test,4
826,1.0,785,test,4
827,1.0,788,test,4
828,1.0,792,test,4
829,1.0,793,test,4
830,1.0,804,test,4
831,0.92,805,test,4
832,1.0,810,test,4
833,1.0,816,test,4
834,1.0,823,test,4
835,1.0,825,test,4
836,1.0,827,test,4
837,1.0,829,test,4
838,1.0,832,test,4
839,1.0,835,test,4
840,1.0,842,test,4
841,1.0,850,test,4
842,1.0,883,test,4
843,1.0,897,test,4
844,1.0,899,test,4
845,1.0,902,test,4
846,1.0,913,test,4
847,1.0,914,test,4
848,1.0,918,test,4
849,1.0,926,test,4
850,1.0,928,test,4
851,1.0,932,test,4
852,1.0,943,test,4
853,1.0,946,test,4
854,1.0,949,test,4
855,1.0,952,test,4
856,0.92,953,test,4
857,1.0,957,test,4
858,1.0,958,test,4
859,1.0,968,test,4
860,1.0,1001,test,4
861,1.0,1010,test,4
862,1.0,1020,test,4
863,1.0,1021,test,4
864,1.0,1026,test,4
865,1.0,1035,test,4
866,1.0,1036,test,4
867,1.0,1040,test,4
868,1.0,1041,test,4
869,1.0,1050,test,4
870,1.0,1053,test,4
871,1.0,1065,test,4
872,1.0,1069,test,4
873,1.0,1077,test,4
874,1.0,1079,test,4
875,1.0,1080,test,4
876,1.0,1089,test,4
877,1.0,1094,test,4
878,1.0,1106,test,4
879,1.0,1107,test,4
880,1.0,1111,test,4
881,1.0,1118,test,4
882,1.0,1119,test,4
883,1.0,1120,test,4
884,1.0,1125,test,4
885,1.0,1126,test,4
886,1.0,1131,test,4
887,1.0,1133,test,4
888,1.0,1137,test,4
889,1.0,1142,test,4
890,0.92,1162,test,4
891,1.0,1179,test,4
892,1.0,1202,test,4
893,1.0,1221,test,4
894,1.0,1229,test,4
895,1.0,1233,test,4
896,1.0,1236,test,4
897,1.0,1237,test,4
898,1.0,1240,test,4
899,1.0,1248,test,4
900,1.0,1257,test,4
901,1.0,1263,test,4
902,1.0,1265,test,4
903,1.0,1280,test,4
904,1.0,1290,test,4
905,1.0,1297,test,4
906,1.0,1305,test,4
907,1.0,1311,test,4
908,1.0,1325,test,4
909,1.0,1328,test,4
910,1.0,1331,test,4
911,1.0,1334,test,4
912,1.0,1336,test,4
913,1.0,1360,test,4
914,1.0,1362,test,4
915,1.0,1367,test,4
916,1.0,1376,test,4
917,1.0,1377,test,4
918,1.0,1381,test,4
919,1.0,1382,test,4
920,1.0,1383,test,4
921,1.0,1388,test,4
922,1.0,1390,test,4
923,1.0,1401,test,4
924,1.0,1403,test,4
925,1.0,1408,test,4
926,1.0,1414,test,4
927,1.0,1423,test,4
928,1.0,1426,test,4
929,1.0,1441,test,4
930,1.0,1455,test,4
931,1.0,1456,test,4
932,1.0,1463,test,4
933,1.0,1464,test,4
934,1.0,1470,test,4
935,1.0,1475,test,4
